Team	Fill	Colour
Arsenal	95BFE5	670E36
Aston Villa	EF0107	023474
Brighton	0055a9	F8BC1B
Burnley	8CCCE5	53162F
Chelsea	034694	DBA111
Crystal Palace	1B458F	C4122E
Everton	274488	000000
Fulham	FFFFFF	000000
Leeds	FFCD00	1D428A
Leicester	FDBE11	0053A0
Liverpool	00A398	D00027
Man City	98c5e9	00285e
Man Utd	DA020E	FFE500
Newcastle	241f20	00B8F4
Sheffield Utd	EE2737	0D171A
Southampton	ED1A3B	211E1F
Spurs	000000	001C58
West Brom	000000	091453
West Ham	60223B	F7C240
Wolves	FDB913	231F20
